Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PRB.DL.NsaDc.Used.Avg","L.ChMeas.PRB.UL.NsaDc.Used.Avg","L.NsaDc.Capable.5gUser.NoScg.BorderUE.Avg","L.NsaDc.Capable.5gUser.RRC.Avg","L.NsaDc.Capable.5gUser.RRC.Max","L.NsaDc.Capable.E-RAB.AttEst.QCI.1","L.NsaDc.Capable.E-RAB.SuccEst.QCI.1","L.NsaDc.Capable.User.RRC.Avg","L.NsaDc.Capable.User.RRC.Max","L.NsaDc.DRB.Add.Att","L.NsaDc.DRB.Add.Succ","L.NsaDc.E-RAB.AbnormRel","L.NsaDc.E-RAB.Mod.Ind.Att.E-RAB","L.NsaDc.E-RAB.Mod.Ind.Succ.E-RAB","L.NsaDc.E-RAB.NormRel","L.NsaDc.HHO.ExecAttOut","L.NsaDc.HHO.ExecSuccOut","L.NsaDc.MenbTrig.SgNB.NormRel","L.NsaDc.MenbTrig.SgNB.Rel","L.NsaDc.PCell.Change.Exec","L.NsaDc.PCell.Change.Succ","L.NsaDc.SgNB.Rmv.Att","L.Thrp.bits.DL.LastTTI.NsaDc","L.Thrp.bits.DL.NsaDc","L.Thrp.bits.DL.NsaDc.MCG","L.Thrp.bits.UL.NsaDc","L.Thrp.Time.DL.RmvLastTTI.NsaDc","L.Thrp.Time.UL.NsaDc","L.Traffic.User.NsaDc.PCell.Avg","L.Traffic.User.NsaDc.PCell.Max"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bit,bit,bit,bit,ms,ms,None,None
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=31, Cell Name=E_BDG886ML1_TRSLEBANG-TBG_ML03, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0.003,0.018,1,0,0,0.737,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103648,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=32, Cell Name=E_BDG886MT1_TRSLEBANG-TBG_MT03, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,1.017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=33, Cell Name=E_BDG886MR1_TRSLEBANG-TBG_MR03, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0.004,0.048,2,0,0,0.988,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4439696,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=23, Cell Name=E_BDG886MR1_TRSLEBANG-TBG_MR02, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0.001,0.095,1,0,0,0.157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537872,0,0,0,0,0
2022-11-09 00:00,60,"E_BDG886_TRSLEBANG-TBG/Cell:eNodeB Function Name=E_BDG886M41_TRSLEBANG-TBG, Local Cell ID=13, Cell Name=E_BDG886MR1_TRSLEBANG-TBG_MR01, eNodeB ID=149886, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0.011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=11, Cell Name=E_BJR001ML1_BANJARKOTA_ML01, eNodeB ID=150001, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,1.729,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=12, Cell Name=E_BJR001MT1_BANJARKOTA_MT01, eNodeB ID=150001, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0.924,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=14, Cell Name=E_BJR001ME1_BANJARKOTA_TE01, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0.117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=15, Cell Name=E_BJR001MF1_BANJARKOTA_TF01, eNodeB ID=150001, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0.941,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-09 00:00,60,"E_BJR001_BANJARKOTA/Cell:eNodeB Function Name=E_BJR001M41_BANJARKOTA, Local Cell ID=21, Cell Name=E_BJR001ML1_BANJARKOTA_ML02, eNodeB ID=150001, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0.911,2,0,0,3.108,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489856736,0,0,0,0,0
