Result Time,Granularity Period,Object Name,Reliability,"L.E-RAB.AbnormRel.eNBTot.QCI.1","L.E-RAB.AbnormRel.eNBTot.QCI.2","L.E-RAB.AbnormRel.HOOut.QCI.1","L.E-RAB.AbnormRel.HOOut.QCI.2","L.E-RAB.AbnormRel.MME.VoIP","L.E-RAB.AbnormRel.QCI.1","L.E-RAB.AttEst.QCI.5","L.E-RAB.NormRel.HOOut.QCI.1","L.E-RAB.NormRel.IRatHOOut.QCI.1","L.E-RAB.NormRel.QCI.1","L.E-RAB.Rel.S1Reset.eNodeB.QCI.1","L.E-RAB.Rel.S1Reset.eNodeB.QCI.2","L.E-RAB.SuccEst.QCI.2","L.E-RAB.SuccEst.QCI.5","L.Paging.S1.Rx","L.Paging.UU.Att"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=11, Cell Name=E_JKS428ML1_Masjidgglimo_ML01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,354,0,0,0,0,0,0,354,108582,
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=33, Cell Name=E_JKS428MR1_Masjidgglimo_MR03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,7,0,0,0,0,0,0,7,108585,
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=23, Cell Name=E_JKS428MR1_Masjidgglimo_MR02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,10,0,0,0,0,0,0,10,108585,
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=13, Cell Name=E_JKS428MR1_Masjidgglimo_MR01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,38,0,0,0,0,0,0,38,108585,
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=32, Cell Name=E_JKS428MT1_Masjidgglimo_MT03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,36,0,0,0,0,0,0,36,108585,
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=22, Cell Name=E_JKS428MT1_Masjidgglimo_MT02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,122,0,0,1,0,0,0,122,108585,
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=12, Cell Name=E_JKS428MT1_Masjidgglimo_MT01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,214,0,0,0,0,0,0,214,108585,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=35, Cell Name=T_JKS106TF1_Ciranjang_TF03, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=34, Cell Name=T_JKS106TE1_Ciranjang_TE03, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=33, Cell Name=E_JKS106MR1_Ciranjang_MR03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,8,0,0,0,0,0,0,8,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=32, Cell Name=E_JKS106MT1_Ciranjang_MT03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,61,0,0,0,0,0,0,61,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=31, Cell Name=E_JKS106ML1_Ciranjang_ML03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,72,0,0,0,0,0,0,72,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=25, Cell Name=T_JKS106TF1_Ciranjang_TF02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=24, Cell Name=T_JKS106TE1_Ciranjang_TE02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=23, Cell Name=E_JKS106MR1_Ciranjang_MR02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,32,0,0,0,0,0,0,32,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=22, Cell Name=E_JKS106MT1_Ciranjang_MT02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,109,0,0,0,0,0,0,108,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=21, Cell Name=E_JKS106ML1_Ciranjang_ML02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,190,0,0,0,0,0,0,190,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=15, Cell Name=T_JKS106TF1_Ciranjang_TF01, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=14, Cell Name=T_JKS106TE1_Ciranjang_TE01, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=13, Cell Name=E_JKS106MR1_Ciranjang_MR01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,81,0,0,0,0,0,0,81,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=12, Cell Name=E_JKS106MT1_Ciranjang_MT01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,72,0,0,0,0,0,0,72,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=11, Cell Name=E_JKS106ML1_Ciranjang_ML01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,655,0,0,0,0,0,0,655,37224,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=65, Cell Name=T_JKS106TF1_Ciranjang_TF06, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=55, Cell Name=T_JKS106TF1_Ciranjang_TF05, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
