Result Time,Granularity Period,Object Name,Reliability,"L.PDCP.Tx.Disc.Trf.SDU.QCI.1","L.PDCP.Tx.Disc.Trf.SDU.QCI.2","L.PDCP.Tx.TotRev.Trf.SDU.QCI.1","L.PDCP.Tx.TotRev.Trf.SDU.QCI.2","L.Traffic.DL.PktUuLoss.Loss.QCI.2","L.Traffic.UL.PktLoss.Loss.QCI.2","L.Traffic.UL.PktLoss.Tot.QCI.2","L.Voice.E2EVQI.Accept.Times","L.Voice.E2EVQI.AMRWB.Accept.Times","L.Voice.E2EVQI.AMRWB.Bad.Times","L.Voice.E2EVQI.AMRWB.Excellent.Times","L.Voice.E2EVQI.AMRWB.Good.Times","L.Voice.E2EVQI.AMRWB.Poor.Times","L.Voice.E2EVQI.Bad.Times","L.Voice.E2EVQI.Excellent.Times","L.Voice.E2EVQI.Good.Times","L.Voice.E2EVQI.Poor.Times","L.Voice.VQI.DL.Accept.Times","L.Voice.VQI.DL.Bad.Times","L.Voice.VQI.DL.Excellent.Times","L.Voice.VQI.DL.Good.Times","L.Voice.VQI.DL.Poor.Times","L.Voice.VQI.UL.Accept.Times","L.Voice.VQI.UL.Bad.Times","L.Voice.VQI.UL.Excellent.Times","L.Voice.VQI.UL.Good.Times","L.Voice.VQI.UL.Poor.Times"
,Minutes,,,packet,packet,packet,packet,packet,packet,packet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=41, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=31, Cell Name=E_JKS428ML1_Masjidgglimo_ML03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=21, Cell Name=E_JKS428ML1_Masjidgglimo_ML02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=11, Cell Name=E_JKS428ML1_Masjidgglimo_ML01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=33, Cell Name=E_JKS428MR1_Masjidgglimo_MR03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=23, Cell Name=E_JKS428MR1_Masjidgglimo_MR02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=13, Cell Name=E_JKS428MR1_Masjidgglimo_MR01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=32, Cell Name=E_JKS428MT1_Masjidgglimo_MT03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=22, Cell Name=E_JKS428MT1_Masjidgglimo_MT02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=12, Cell Name=E_JKS428MT1_Masjidgglimo_MT01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
