Result Time,Granularity Period,Object Name,Reliability,"L.HHO.IntereNB.InterFreq.ExecAttOut","L.HHO.IntereNB.InterFreq.ExecSuccOut","L.HHO.IntereNB.InterFreq.Succ.ReEst2Src","L.HHO.IntraeNB.InterFreq.ExecAttOut","L.HHO.IntraeNB.InterFreq.ExecSuccOut","L.HHO.IntraeNB.InterFreq.Succ.ReEst2Src","L.IRATHO.E2W.ExecAttOut","L.IRATHO.E2W.ExecSuccOut","L.RRCRedirection.E2G","L.RRCRedirection.E2G.PrepAtt","L.RRCRedirection.E2W","L.RRCRedirection.E2W.PrepAtt"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=32, Cell Name=E_JKS106MT1_Ciranjang_MT03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,6,6,0,144,144,0,0,0,0,,4,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=31, Cell Name=E_JKS106ML1_Ciranjang_ML03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,14,14,0,154,154,0,0,0,0,,1,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=25, Cell Name=T_JKS106TF1_Ciranjang_TF02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=24, Cell Name=T_JKS106TE1_Ciranjang_TE02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=23, Cell Name=E_JKS106MR1_Ciranjang_MR02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,32,32,0,46,46,0,0,0,0,,2,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=22, Cell Name=E_JKS106MT1_Ciranjang_MT02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,5,5,0,39,39,0,0,0,0,,24,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=21, Cell Name=E_JKS106ML1_Ciranjang_ML02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,13,13,0,152,152,0,0,0,0,,2,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=15, Cell Name=T_JKS106TF1_Ciranjang_TF01, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=14, Cell Name=T_JKS106TE1_Ciranjang_TE01, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,,0,
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=13, Cell Name=E_JKS106MR1_Ciranjang_MR01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,71,71,0,135,135,0,0,0,0,,1,
