Result Time,Granularity Period,Object Name,Reliability,"L.Cell.Unavail.Dur.Sys","L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.DL.Used.Avg","L.ChMeas.PRB.UL.Avail","L.ChMeas.PRB.UL.Used.Avg","L.CSFB.PrepAtt","L.CSFB.PrepSucc","L.E-RAB.AbnormRel","L.E-RAB.AbnormRel.MME","L.E-RAB.AttEst","L.E-RAB.NormRel","L.E-RAB.SuccEst","L.HHO.IntereNB.InterFreq.ExecAttOut","L.HHO.IntereNB.InterFreq.ExecSuccOut","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntereNB.IntraFreq.Succ.ReEst2Src","L.HHO.IntraeNB.InterFreq.ExecAttOut","L.HHO.IntraeNB.InterFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.Succ.ReEst2Src","L.IRATHO.E2G.ExecAttOut","L.IRATHO.E2G.ExecSuccOut","L.IRATHO.E2W.ExecAttOut","L.IRATHO.E2W.ExecSuccOut","L.Paging.S1.Rx","L.RRCRedirection.E2G","L.RRCRedirection.E2G.Coverage","L.RRCRedirection.E2G.CSFB","L.RRCRedirection.E2G.Distance","L.RRCRedirection.E2G.Load","L.RRCRedirection.E2G.Ulquality","L.RRCRedirection.E2W","L.RRCRedirection.E2W.Coverage","L.RRCRedirection.E2W.CSFB","L.RRCRedirection.E2W.Distance","L.RRCRedirection.E2W.Load","L.RRCRedirection.E2W.Ulquality","L.RRC.ConnReq.Att.DelayTol","L.RRC.ConnReq.Att.Emc","L.RRC.ConnReq.Att.HighPri","L.RRC.ConnReq.Att.MoData","L.RRC.ConnReq.Att.MoSig","L.RRC.ConnReq.Att.Mt","L.RRC.ConnReq.Succ.DelayTol","L.RRC.ConnReq.Succ.Emc","L.RRC.ConnReq.Succ.HighPri","L.RRC.ConnReq.Succ.MoData","L.RRC.ConnReq.Succ.MoSig","L.RRC.ConnReq.Succ.Mt","L.S1Sig.ConnEst.Att","L.S1Sig.ConnEst.Succ","L.Thrp.bits.DL","L.Thrp.bits.DL.LastTTI","L.Thrp.bits.UE.UL.LastTTI","L.Thrp.bits.UL","L.Thrp.Time.Cell.DL.HighPrecision","L.Thrp.Time.Cell.UL.HighPrecision","L.Thrp.Time.DL.RmvLastTTI","L.Thrp.Time.UE.UL.RmvLastTTI","L.Traffic.ActiveUser.Avg","L.Traffic.ActiveUser.Max","L.Traffic.User.Avg","L.Traffic.User.Max"
,Minutes,,,s,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bit,bit,bit,bit,ms,ms,ms,ms,None,None,None,None
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=11, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,20.692,95,12.771,5,5,0,0,2390,2352,2389,57,57,128,128,0,26,26,56,56,0,0,0,0,0,188048,11,11,0,0,0,0,5,0,5,0,0,0,0,0,3,1079,269,725,0,0,3,1079,269,725,2076,2076,21898714040,519364872,420583048,996484224,1025000,599726,987876,243585,0.989,10,18.531,27
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=31, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,22.375,95,16.565,2,2,0,0,4466,4469,4463,83,83,317,317,0,70,70,32,32,0,0,0,0,0,188049,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,2156,565,1422,0,0,0,2156,563,1422,4141,4141,18543261840,2236761328,712411568,1418698896,970879,733777,1080652,344332,1.294,11,30.448,43
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=51, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,6.137,95,9.051,4,4,0,0,2164,2147,2164,30,30,88,88,0,0,0,743,743,0,0,0,0,0,108585,0,0,0,0,0,0,4,0,4,0,0,0,0,0,36,1142,132,522,0,0,35,1141,132,522,1830,1830,9781007792,1492852376,270153968,1201351248,301709,272205,188698,131123,0.438,6,13.375,28
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=41, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,11.392,95,14.995,6,6,0,0,4584,4656,4584,121,121,383,382,0,0,0,398,398,0,0,0,0,0,108585,0,0,0,0,0,0,6,0,6,0,0,0,0,0,43,2164,244,967,0,0,43,2164,244,967,3418,3418,23878274080,4731600112,831662192,5790889920,780668,652735,381662,335883,0.864,8,31.475,46
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=31, Cell Name=E_JKS428ML1_Masjidgglimo_ML03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,5.667,95,13.07,0,0,1,0,2034,1938,2034,113,113,142,141,0,102,102,35,35,0,0,0,0,0,108585,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1093,364,458,0,0,3,1093,364,458,1918,1918,9536689096,2134385216,365288008,1628548312,303691,432709,140494,306107,0.57,6,12.672,22
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=21, Cell Name=E_JKS428ML1_Masjidgglimo_ML02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,9.984,95,15.683,0,0,2,0,4709,4545,4707,99,99,328,328,6,39,39,160,160,1,0,0,0,0,108585,0,0,0,0,0,0,8,8,0,0,0,0,0,0,19,2231,629,1163,0,0,19,2230,623,1163,4035,4035,16458947552,4348907264,540081072,1363398464,583277,580728,296060,364448,0.795,8,25.209,38
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=11, Cell Name=E_JKS428ML1_Masjidgglimo_ML01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,10.751,95,12.102,1,1,1,0,1565,1443,1563,2,2,11920,11915,1590,20,20,15,15,0,0,0,0,0,108582,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,708,119,422,0,0,0,708,119,422,1249,1249,3843813432,766169112,145061344,394711648,183441,192788,94715,96610,0.225,5,12.895,23
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=33, Cell Name=E_JKS428MR1_Masjidgglimo_MR03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,50,1.766,50,4.806,0,0,0,0,48,59,48,4,4,9,9,0,21,21,4,4,0,0,0,0,0,108585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,19,0,0,0,15,10,19,44,44,542446480,22881728,5090624,16265176,24193,12082,22019,6108,0.024,2,0.628,3
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=23, Cell Name=E_JKS428MR1_Masjidgglimo_MR02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,50,3.528,50,4.787,0,0,0,0,159,132,159,29,29,33,33,0,35,35,5,5,0,0,0,0,0,108585,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,68,210,58,0,0,0,68,210,58,336,336,47301072,15671760,4485472,15616712,8321,21252,3980,17633,0.042,3,0.842,6
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=13, Cell Name=E_JKS428MR1_Masjidgglimo_MR01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,50,2.126,50,4.898,0,0,0,0,215,322,215,4,4,11,11,1,28,28,3,3,0,0,0,0,0,108585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,102,26,54,0,0,16,102,26,54,198,198,1178420456,157960016,16532896,49857952,41109,26068,30204,11680,0.041,3,1.803,6
