Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.ChMeas.PDSCH.MCS.0","L.ChMeas.PDSCH.MCS.1","L.ChMeas.PDSCH.MCS.10","L.ChMeas.PDSCH.MCS.11","L.ChMeas.PDSCH.MCS.12","L.ChMeas.PDSCH.MCS.13","L.ChMeas.PDSCH.MCS.14","L.ChMeas.PDSCH.MCS.15","L.ChMeas.PDSCH.MCS.16","L.ChMeas.PDSCH.MCS.17","L.ChMeas.PDSCH.MCS.18","L.ChMeas.PDSCH.MCS.19","L.ChMeas.PDSCH.MCS.2","L.ChMeas.PDSCH.MCS.20","L.ChMeas.PDSCH.MCS.21","L.ChMeas.PDSCH.MCS.22","L.ChMeas.PDSCH.MCS.23","L.ChMeas.PDSCH.MCS.24","L.ChMeas.PDSCH.MCS.25","L.ChMeas.PDSCH.MCS.26","L.ChMeas.PDSCH.MCS.27","L.ChMeas.PDSCH.MCS.28","L.ChMeas.PDSCH.MCS.29","L.ChMeas.PDSCH.MCS.3","L.ChMeas.PDSCH.MCS.30","L.ChMeas.PDSCH.MCS.31","L.ChMeas.PDSCH.MCS.4","L.ChMeas.PDSCH.MCS.5","L.ChMeas.PDSCH.MCS.6","L.ChMeas.PDSCH.MCS.7","L.ChMeas.PDSCH.MCS.8","L.ChMeas.PDSCH.MCS.9","L.ChMeas.RI.Rank1","L.ChMeas.RI.Rank2","L.ChMeas.RI.Rank3","L.ChMeas.RI.Rank4"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=11, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,28258388,42368555,54156,0,59005,87192,0,123427,137282,139808,137919,132526,133548,0,124454,115239,40525,105693,95280,86089,71486,73001,63303,61207,74297,100155,122927,47141,148380,282859,57859,74643,91437,107316,109501,118490,500161,1738676,0,0
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=31, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,35882804,40715757,102286,0,124548,162416,0,111212,113186,111711,115248,116406,131894,0,137058,120835,73356,85583,68345,68965,54196,41227,25127,20506,27296,41420,237053,90429,156462,159914,105759,106827,112764,117820,117379,120162,961837,2585388,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=51, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,8539043,9638135,1000874,0,6751,74061,0,12484,16181,17916,21181,19683,22138,0,22146,20665,2067,21900,22598,24423,20322,18455,15679,12737,18460,26323,22084,2420,26497,73955,3470,4105,5872,7452,9639,13142,566202,668264,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=41, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,13096559,24022903,961744,0,15401,123439,0,19289,24277,23677,26815,28386,32378,0,36621,38783,4159,42371,44163,50358,48386,48621,42993,33662,34452,42230,32702,5686,33929,140467,7774,8792,11946,15442,17866,22464,1268876,2273437,0,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=31, Cell Name=E_JKS428ML1_Masjidgglimo_ML03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,5924436,11157693,246508,0,34749,48974,0,17869,28540,37408,41858,41920,43849,0,42106,42522,4700,45701,45168,36092,23727,17349,13360,12406,17094,14826,24233,9007,51729,81635,12039,12785,16306,16438,13140,15246,359631,786421,56138,4191
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=21, Cell Name=E_JKS428ML1_Masjidgglimo_ML02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,10357072,20419988,530288,0,24581,8037,0,40130,48240,58566,68295,81901,86610,0,86935,98211,12326,89304,86715,82816,64488,45711,31229,25496,16082,14355,51728,14031,92869,196792,16351,15698,18998,24823,25680,34883,1063654,1383601,165280,4464
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=11, Cell Name=E_JKS428ML1_Masjidgglimo_ML01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,13602948,20883811,425020,0,192880,173562,0,13666,18118,21361,25542,27670,28213,1,33657,40828,1882,43330,44199,44476,43795,39711,27527,15319,17351,8959,212548,2304,35538,87364,3479,4023,5840,7993,9792,12075,409815,686914,69703,3252
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=33, Cell Name=E_JKS428MR1_Masjidgglimo_MR03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,1254984,2014110,58615,0,1033,3580,0,3028,3639,2935,2445,2455,3655,0,3342,3927,309,5659,5087,3087,2109,1648,1049,959,721,676,2894,336,3130,4723,695,670,1012,1108,1745,2783,38245,44876,2196,231
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=23, Cell Name=E_JKS428MR1_Masjidgglimo_MR02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,3759583,3822462,60198,0,26598,12226,0,17003,21723,22244,24194,21504,20492,0,18166,12684,6070,8914,6341,5065,3954,3443,2411,1815,2016,1900,48408,6840,28357,18808,8264,9942,13937,18852,20195,18394,149093,114539,26878,5518
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=13, Cell Name=E_JKS428MR1_Masjidgglimo_MR01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,2597681,1868352,45078,0,24114,10576,0,2838,3733,3781,5358,5465,5868,0,6896,6801,2027,6482,6329,6804,5970,5216,5242,3915,3830,2459,25048,2011,6559,10593,2623,1807,2045,2271,2529,2925,111422,85617,1828,307
